RESPOND,AGE,BUY18,CLIMATE,FICO,INCOME,MARRIED,OWNHOME,GENDER
0,71,1,10,719,67,1,0,M
0,53,0,10,751,72,1,0,M
0,53,1,10,725,70,1,0,F
0,45,1,10,684,56,0,0,F
0,32,0,10,651,66,0,0,F
0,35,0,10,691,48,0,1,F
0,43,0,10,694,49,0,1,F
0,39,0,10,659,64,0,0,M
0,66,0,10,692,65,0,0,M
0,,0,10,707,,,,
0,52,2,10,705,58,1,1,M
0,29,0,10,693,40,0,0,F
0,48,0,10,698,57,0,0,F
1,67,0,10,713,33,0,0,M
0,44,1,10,751,17,1,0,M
1,59,1,10,703,40,1,0,F
0,47,0,10,680,71,1,0,M
0,49,0,10,705,25,1,1,F
0,36,0,10,610,51,0,0,M
0,23,0,10,670,52,1,0,F
1,58,1,10,686,38,1,0,M
0,50,0,10,733,56,1,0,M
0,39,1,10,691,54,0,0,M
0,63,0,10,714,29,1,0,M
0,47,0,10,732,63,1,0,M
0,55,1,10,706,51,1,0,F
0,45,1,10,635,61,0,0,M
0,49,1,10,687,19,1,0,F
0,48,2,10,654,66,0,0,F
0,54,0,10,720,35,1,0,F
0,42,0,10,688,31,0,0,F
0,46,0,10,646,20,1,0,M
0,60,1,10,691,67,1,0,F
0,43,0,10,734,24,1,0,F
0,56,1,10,717,45,1,0,F
0,39,0,10,676,73,0,0,M
0,49,1,10,673,30,1,0,M
1,43,0,10,709,53,1,0,M
0,,0,10,727,,,,
0,37,1,10,724,30,0,0,F
0,48,0,10,657,41,1,0,M
0,41,0,10,678,71,0,1,F
0,39,0,10,738,56,0,0,M
0,37,0,10,729,61,1,1,M
0,42,2,10,744,58,1,0,M
0,43,1,10,675,67,1,0,M
0,39,0,10,659,53,0,0,M
0,34,0,10,646,37,0,0,F
0,,0,10,701,,,,
0,41,0,10,688,66,1,0,F
0,32,0,10,687,71,0,0,F
0,59,0,10,693,43,1,1,M
0,38,0,10,681,67,0,0,M
0,,1,10,643,,,,
0,48,1,10,658,37,1,0,F
0,36,1,10,681,60,0,0,M
0,38,0,10,694,44,0,0,M
1,32,2,10,650,29,0,1,M
0,42,0,10,740,58,1,1,F
0,43,0,10,670,40,1,1,M
0,41,0,10,672,63,1,0,M
0,41,1,10,690,27,1,0,M
0,59,0,10,,34,1,1,M
0,66,0,10,678,30,1,0,M
0,36,0,10,708,21,1,0,M
0,49,0,10,685,31,0,0,F
0,33,0,10,670,54,0,0,M
0,41,1,10,685,20,1,0,M
1,23,0,10,742,69,1,1,M
0,35,2,10,677,67,0,1,M
0,42,0,10,694,55,0,0,M
0,48,0,10,716,55,1,0,M
0,43,0,10,688,59,1,0,M
0,56,1,10,704,33,1,0,F
0,27,1,10,694,53,1,0,F
0,38,0,10,685,51,0,0,M
0,58,1,10,687,31,0,0,M
0,43,0,10,693,66,0,1,F
0,50,1,10,691,73,1,0,M
0,68,0,10,716,18,1,1,M
0,31,0,10,678,69,0,0,M
0,19,1,10,705,30,0,0,M
0,52,0,10,716,30,1,0,M
0,34,2,10,697,64,1,0,F
0,48,2,10,677,17,0,1,F
0,,0,10,719,,,,
0,27,0,10,694,57,0,0,M
0,34,0,10,680,72,1,0,M
0,60,0,10,695,18,0,1,M
0,49,0,10,710,67,1,1,F
0,52,0,10,715,57,1,0,M
0,41,0,10,739,67,0,0,F
0,34,1,10,687,68,0,0,M
0,54,0,10,739,67,0,0,M
0,35,1,10,698,34,0,0,M
0,64,0,10,675,63,1,0,M
0,43,0,10,668,70,1,0,M
0,59,0,10,701,31,1,0,M
0,52,0,10,692,52,1,0,M
0,71,0,10,693,69,0,1,F
0,46,0,10,632,64,1,1,F
0,47,0,10,716,17,0,0,M
0,50,1,10,678,37,1,0,M
0,50,0,10,698,44,1,1,F
0,36,1,10,710,39,0,0,F
0,40,1,10,684,31,1,0,F
0,33,0,10,670,67,0,0,M
0,49,0,10,705,31,1,0,M
0,43,1,10,737,74,1,0,F
0,43,2,10,685,50,1,0,F
0,51,0,10,714,34,1,0,M
0,48,1,10,748,55,1,1,F
0,56,0,10,705,30,1,0,M
0,45,0,10,670,43,1,0,M
0,28,1,10,715,82,0,0,M
0,44,0,10,693,65,1,0,M
0,44,0,10,688,55,1,0,F
0,38,0,10,718,56,0,0,M
0,42,0,10,719,60,0,0,F
0,57,1,10,737,31,1,0,F
0,60,1,10,722,34,1,0,M
0,27,0,10,701,63,0,0,M
0,47,0,10,666,53,1,0,M
0,47,0,10,721,28,1,0,M
0,48,1,10,769,42,0,0,F
0,,1,10,642,,,,
0,42,0,10,683,114,1,0,F
0,44,1,10,672,76,1,0,M
0,45,0,10,717,58,1,0,F
0,28,1,10,669,68,0,1,M
0,53,0,10,676,46,0,1,F
0,18,0,10,632,57,0,0,M
0,26,1,10,712,67,1,1,M
0,44,0,10,718,61,1,0,M
0,35,0,10,649,36,0,0,M
0,52,0,10,724,63,1,0,M
0,44,1,10,679,52,1,0,M
1,33,0,10,692,29,0,0,M
0,,0,10,684,,,,
0,55,0,10,680,50,1,0,M
0,42,2,10,693,72,1,0,M
0,39,0,10,717,46,0,1,F
0,21,0,10,690,71,1,0,F
1,31,0,10,722,52,0,0,F
0,31,0,10,705,59,0,0,M
0,42,0,10,770,39,1,0,F
0,61,0,10,674,36,1,1,M
0,61,0,10,719,67,0,0,M
0,49,0,10,689,45,1,0,M
0,20,0,10,678,28,0,0,F
0,40,1,10,678,36,1,0,F
0,63,0,10,749,70,1,0,F
0,41,1,10,690,46,1,0,M
0,51,0,10,688,62,1,1,M
0,46,0,10,715,30,0,0,M
0,33,1,10,703,55,0,0,F
0,39,0,10,744,36,0,1,F
0,50,0,10,735,45,1,1,F
0,47,1,10,658,54,1,0,F
0,40,0,10,730,71,1,0,M
0,56,0,10,716,45,1,1,M
0,47,0,10,684,84,0,0,M
0,42,0,10,718,68,1,0,M
0,46,0,10,681,70,1,0,M
0,44,0,10,692,33,0,0,M
0,45,0,10,679,66,1,0,M
0,46,0,10,710,44,1,1,F
1,48,1,10,708,41,1,0,M
0,41,0,10,681,33,0,0,F
0,,0,10,728,,,,
0,28,0,10,616,73,1,1,F
1,50,0,10,724,52,1,0,M
0,47,0,10,658,38,1,0,M
0,39,0,10,695,16,0,0,M
0,39,0,10,697,73,0,0,M
0,49,1,10,700,47,1,1,F
0,44,0,10,698,30,0,0,M
0,51,2,10,704,66,1,0,M
0,29,0,10,700,57,0,0,F
0,29,1,10,777,20,1,0,F
0,51,0,10,704,65,1,0,F
0,45,0,10,714,66,1,0,F
0,34,1,10,665,61,0,0,M
0,33,0,10,699,81,0,0,M
0,42,0,10,668,32,1,0,M
0,51,0,10,712,33,1,0,F
1,45,0,10,666,41,0,0,M
0,41,1,10,690,75,1,0,M
0,54,0,10,741,79,1,0,M
0,38,1,10,665,51,0,0,M
0,39,0,10,649,24,1,0,M
0,62,0,10,,53,0,0,M
0,46,0,10,705,68,1,0,F
